TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
RUA,JOAO CANDIDO,36,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,03,25,JARDIM AFONSO CELSO,Cedro,CE,-6.60667,-39.06222
RUA,SENADOR JOAO TOME,009,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,MONSENHOR ANTONIO VIEIRA COSTA,262,ALTO DO PADEIRO,Cedro,CE,-6.6086213,-39.0575485
10A RUA,SITIO ESPERANCA,SN,SANTO ANTONIO,Cedro,CE,-6.58417,-38.97139
11A RUA,NOSSA SENHORA DA CONCEICAO,42,VARZEA DA CONCECAO,Cedro,CE,-6.4758046,-39.111473
RUA,MARECHAL DEODORO,147,ACUDE NOVO,Cedro,CE,-6.6109207,-39.0580165
10A RUA,CORONEL CAETANO AFONSO,383,CENTRO,Cedro,CE,-6.60667,-39.06222
11A TRAVESSA,BELO HORIZONTE,210,PRADO,Cedro,CE,-6.60667,-39.06222
RUA,JADELGENA DE ARAUJO SILVA,400,CENTRO,Cedro,CE,-6.60667,-39.06222
10A RUA,SENADOR JOAO TOME,351-A,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO CLEZIO TEIXEIRA DE MOURA,120,FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,FRANCISCO CHAGAS DE AQUINO,163,ACUDE NOVO,Cedro,CE,-6.60667,-39.06222
10A RUA,SINHA DINIZ,27,JARDIM AFONSO CELSO,Cedro,CE,-6.5944667,-39.0672956
10A RUA,JOSE AIRTON DE SOUZA,328,PRADO,Cedro,CE,-6.60667,-39.06222
RUA,VICENTE VIANA,557,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VIANA DE ARAUJO,419,FATIMA,Cedro,CE,-6.60667,-39.06222
SITIO,MARRECA,10,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
TRAVESSA,APARECIDA HOLANDA,5,CENTRO,Cedro,CE,-6.60667,-39.06222
RODOVIA,CE-153,SN,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,OBI JUCA DINIZ,212,RODOVIARIA,Cedro,CE,-6.6041621,-39.0586257
